EducationLevel,Location,Method,Program,Term,URL,University
Master's degree,"		Dorset, England
", On campus,Tourism Management (Taught),2 years,https://www.educations.com/study-abroad/bournemouth-university/tourism-management-taught-897277,Bournemouth University
Bachelor's degree,"		Canterbury, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/canterbury-christ-church-university/tourism-management-896586,Canterbury Christ Church University
Bachelor's degree,"		London, England
", On campus,Tourism and Travel Management (Top-up) BA (Full-time),1 year,https://www.educations.com/study-abroad/london-metropolitan-university/tourism-and-travel-management-top-up-ba-full-time-1395992,London Metropolitan University
Foundation / Pathway program,"		Birmingham, England
", On campus,Tourism and Hospitality Management,2 years,https://www.educations.com/study-abroad/south-and-city-college-birmingham/tourism-and-hospitality-management-922598,South and City College Birmingham
Bachelor's degree,"		Cornwall, England
", On campus,Creative Events Management BA (Hons),3 years,https://www.educations.com/study-abroad/falmouth-university/creative-events-management-ba-hons-902267,Falmouth University
Master's degree,"		Cambridge (England), England
", On campus,International Hospitality and Tourism Management (Taught),1 year,https://www.educations.com/study-abroad/anglia-ruskin-university/international-hospitality-and-tourism-management-taught-888886,Anglia Ruskin University
Master's degree,"		London, England
", On campus,Tourism (Research),2 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-research-961038,University of Westminster
Master's degree,"		London, England
", On campus,Tourism (Research),48 months,https://www.educations.com/study-abroad/university-of-westminster/tourism-research-961037,University of Westminster
Bachelor's degree,"		Plymouth, England
", On campus,International Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-plymouth/international-tourism-management-951419,University of Plymouth
Bachelor's degree,"		Plymouth, England
", On campus,International Tourism Management,4 years,https://www.educations.com/study-abroad/university-of-plymouth/international-tourism-management-951420,University of Plymouth
Bachelor's degree,"		Bedford, England
", On campus,Travel and Tourism,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/travel-and-tourism-926000,University of Bedfordshire
Bachelor's degree,"		London, England
", On campus,Tourism Management,3 years,https://www.educations.com/study-abroad/university-of-east-london/tourism-management-924752,University of East London
Master's degree,"		London, England
", On campus,International Tourism and Hospitality Management (Top-up) (Taught),6 months,https://www.educations.com/study-abroad/london-south-bank-university/international-tourism-and-hospitality-management-top-up-taught-907844,London South Bank University
Master's degree,"		Oxford, England
", On campus,"International Hospitality, Events and Tourism Management (Taught)",2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-hospitality-events-and-tourism-management-taught-911196,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,"International Hospitality, Events and Tourism Management (Taught)",2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-hospitality-events-and-tourism-management-taught-911195,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,"International Hospitality, Events and Tourism Management (Taught)",1 year,https://www.educations.com/study-abroad/oxford-brookes-university/international-hospitality-events-and-tourism-management-taught-911197,Oxford Brookes University
Bachelor's degree,"		Ipswich, England
", On campus,BA (Hons) Event and Tourism Management,,https://www.educations.com/study-abroad/university-of-suffolk/ba-hons-event-and-tourism-management-1253917,University of Suffolk
Bachelor's degree,"		Bath, England
", On campus,Business and Management (Tourism Management) BA (Hons),3 years,https://www.educations.com/study-abroad/bath-spa-university/business-and-management-tourism-management-ba-hons-1265494,Bath Spa University
Master's degree,"		Birmingham, England
", On campus,International Tourism Management MSc / PGDip,18 months,https://www.educations.com/study-abroad/university-college-birmingham/international-tourism-management-msc-pgdip-924401,University College Birmingham
Bachelor's degree,"		London, England
", On campus,Tourism and Travel Management (Including Foundation Year) BA (Hons) (Full-time),4 years,https://www.educations.com/study-abroad/london-metropolitan-university/tourism-and-travel-management-including-foundation-year-ba-hons-full-time-1395990,London Metropolitan University
Bachelor's degree,"		Derby, England
", On campus,BA (Hons) International Hospitality Management,3 years,https://www.educations.com/study-abroad/university-of-derby/ba-hons-international-hospitality-management-1356014,University of Derby
Master's degree,"		London, England
", On campus,"International Events, Leisure and Tourism Management MSc",1 year,https://www.educations.com/study-abroad/london-metropolitan-university/international-events-leisure-and-tourism-management-msc-900429,London Metropolitan University
Foundation / Pathway program,"		Nottingham, England
", On campus,Live and Technical Events,2 years,https://www.educations.com/study-abroad/nottingham-trent-university/live-and-technical-events-910832,Nottingham Trent University
Foundation / Pathway program,"		Newcastle upon Tyne, England
", On campus,Tourism and Hospitality Management,2 years,https://www.educations.com/study-abroad/newcastle-college/tourism-and-hospitality-management-912680,Newcastle College
Bachelor's degree,"		London, England
", On campus,Tourism and Hospitality Management,3 years,https://www.educations.com/study-abroad/london-south-bank-university/tourism-and-hospitality-management-907831,London South Bank University
Master's degree,"		Guildford, England
", On campus,International Hotel Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/international-hotel-management-msc-1497535,University of Surrey
Master's degree,"		Birmingham, England
", On campus,MSc Aviation Management,18 months,https://www.educations.com/study-abroad/university-college-birmingham/msc-aviation-management-924438,University College Birmingham
Bachelor's degree,"		Birmingham, England
", On campus,BA (Hons) Aviation and Airport Management,3 years,https://www.educations.com/study-abroad/university-college-birmingham/ba-hons-aviation-and-airport-management-924442,University College Birmingham
Master's degree,"		Guildford, England
", On campus,Strategic Hotel Management MSc,1 year,https://www.educations.com/study-abroad/university-of-surrey/strategic-hotel-management-msc-1497572,University of Surrey
Diploma / certificate,"		Birmingham, England
", On campus,Cabin Crew and Airport Operations Level 2,1 year,https://www.educations.com/study-abroad/university-college-birmingham/cabin-crew-and-airport-operations-level-2-1585773,University College Birmingham
Bachelor's degree,"		Sheffield, England
", On campus,International Tourism and Hospitality Business Management,3 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-tourism-and-hospitality-business-management-919791,Sheffield Hallam University
Master's degree,"		Sheffield, England
", On campus,International Hospitality and Tourism Management (Taught),15 months,https://www.educations.com/study-abroad/sheffield-hallam-university/international-hospitality-and-tourism-management-taught-919815,Sheffield Hallam University
Bachelor's degree,"		London, England
", On campus,Tourism with Business,3 years,https://www.educations.com/study-abroad/university-of-westminster/tourism-with-business-961092,University of Westminster
Diploma / certificate,"		Havant, England
", On campus,Travel and Tourism Management,2 years,https://www.educations.com/study-abroad/havant-and-south-downs-college/travel-and-tourism-management-898674,Havant and South Downs College
Bachelor's degree,"		Hatfield, England
", On campus,"Tourism with Eastern Language (Japanese, Mandarin)",4 years,https://www.educations.com/study-abroad/university-of-hertfordshire/tourism-with-eastern-language-japanese-mandarin-940524,University of Hertfordshire
Master's degree,"		London, England
", On campus,International Tourism and Hospitality Management - FT (Taught),1 year,https://www.educations.com/study-abroad/london-south-bank-university/international-tourism-and-hospitality-management-ft-taught-907845,London South Bank University
